,maker,car
13,기아,뉴카니발9인승(06)
14,한국GM,말리부
16,현대,아반떼AD(16)
20,기아,K5(18)
22,기아,올뉴쏘렌토
24,한국GM,말리부
25,쌍용,코란도 C
26,현대,아반떼AD(16)
27,기아,모하비
30,현대,그랜져IG(17)
32,기아,K3
33,기아,K7
35,한국GM,말리부
36,기아,K7
56,한국GM,말리부
60,기아,K5(15)
63,기아,K7
67,기아,스포티지(16)
73,기아,K3
78,기아,올뉴카니발(14)
87,현대,G80(16)
91,기아,K3
97,기아,니로
99,현대,싼타페(15)
100,기아,쏘렌토R
102,기아,K9
103,현대,G80(16)
108,현대,HG그랜져
115,기아,K9
116,현대,싼타페DM
121,기아,올뉴카니발(14)
122,기아,레이
126,기아,스포티지R
127,한국GM,올뉴말리부(2017)
128,기아,레이
141,현대,제네시스(14)
145,한국GM,말리부
148,현대,아이오닉
153,기아,K7
160,기아,스포티지(16)
170,현대,G80(16)
173,현대,아반떼AD(16)
176,쌍용,티볼리
177,현대,아반떼AD(16)
178,현대,YF 쏘나타
182,기아,올뉴쏘렌토
183,기아,올뉴쏘렌토
184,기아,올뉴카니발(14)
185,기아,올뉴쏘렌토
186,쌍용,렉스턴 II
187,쌍용,티볼리
188,기아,올 뉴 모닝(11)
189,현대,아반떼AD(16)
190,현대,HG그랜져
191,기아,올뉴프라이드4DR(12)
192,기아,올뉴카니발(14)
193,현대,싼타페DM
194,현대,아반떼MD(13)
195,기아,K5
196,현대,싼타페DM
197,현대,HG그랜져
199,기아,레이
200,현대,싼타페DM
201,한국GM,윈스톰
202,현대,그랜져IG(17)
203,기아,K5(15)
204,현대,HG그랜져
205,현대,올뉴투싼
206,르노삼성,SM7 Nova
207,기아,올뉴카니발(14)
208,현대,싼타페DM
209,기아,올뉴쏘렌토
210,기아,모하비
211,기아,니로
212,현대,그랜드스타렉스 5밴
213,기아,올뉴쏘렌토
214,기아,올 뉴 모닝(11)
215,현대,그랜드스타렉스 5밴
216,현대,LF 쏘나타
217,현대,아슬란
218,현대,제네시스(14)
219,현대,HG그랜져
220,기아,올 뉴 K7
221,현대,HG그랜져
222,쌍용,티볼리
223,기아,모하비
224,현대,그랜드스타렉스 웨건
225,현대,HG그랜져
226,현대,그랜드스타렉스 5밴
227,한국GM,말리부
228,기아,레이
229,현대,싼타페DM
230,기아,올뉴쏘렌토
231,쌍용,코란도 C
232,기아,K3
233,쌍용,코란도스포츠
234,기아,올뉴카니발(14)
235,기아,올뉴카니발(14)
236,현대,제네시스(14)
237,기아,올뉴쏘렌토
238,기아,올뉴쏘렌토
239,현대,투싼 IX
240,현대,싼타페DM
241,기아,레이
242,현대,그랜드스타렉스 5밴
243,한국GM,더넥스트스파크
244,현대,EQ900
245,기아,올뉴쏘렌토
246,기아,올뉴쏘렌토
247,기아,올뉴쏘렌토
248,현대,그랜드스타렉스 웨건
249,기아,올뉴카니발(14)
250,기아,모하비
251,현대,올뉴투싼
252,기아,올 뉴 모닝(11)
253,기아,스포티지(16)
254,현대,싼타페DM
255,기아,올뉴쏘렌토
256,기아,모하비
257,현대,그랜드스타렉스 5밴
258,기아,올뉴카니발(14)
259,기아,올 뉴 모닝(11)
260,현대,아반떼AD(16)
261,기아,레이
262,현대,올뉴투싼
263,기아,올뉴쏘렌토
264,기아,스포티지(16)
265,현대,싼타페DM
266,현대,올뉴투싼
267,현대,그랜드스타렉스 웨건
268,기아,올 뉴 모닝(11)
269,기아,니로
270,기아,모하비
271,기아,스포티지(16)
272,기아,올뉴카니발(14)
273,쌍용,코란도스포츠
274,기아,스포티지R
275,기아,레이
276,현대,HG그랜져
277,기아,올뉴쏘렌토
278,현대,벨로스터
279,기아,올 뉴 모닝(11)
280,현대,LF 쏘나타
281,기아,니로
282,기아,레이
283,현대,그랜드스타렉스 5밴
284,현대,싼타페DM
285,르노삼성,SM5(10)
286,현대,제네시스(14)
287,기아,스포티지R
288,현대,그랜드스타렉스 3밴
289,현대,제네시스(14)
290,기아,올뉴쏘렌토
291,현대,HG그랜져
292,현대,올뉴투싼
293,기아,레이
294,기아,올뉴카니발(14)
295,기아,스포티지R
296,기아,올 뉴 K7
297,현대,LF 쏘나타
298,기아,올뉴카니발(14)
299,기아,올뉴프라이드5DR(12)
300,기아,K7
301,현대,HG그랜져
302,기아,올뉴모닝(17)
303,현대,싼타페DM
